query,groundtruth,prediction,context_list
Why are relations with Malaysia and Indonesia important?,"Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important.",Relations with Malaysia and Indonesia are important due to obvious geographical reasons and historical ties.,"['In contrast to Sukarno\'s antipathy to western powers and hostility to Malaysia, Indonesia\'s foreign relations approach since the Suharto ""New Order"" has been one of international cooperation and accommodation, to gain external support for Indonesia\'s political stability and economic development.    Indonesia maintains close relationships with its neighbors in Asia, and is a founding member of ASEAN and the East Asia Summit.    The nation restored relations with the People\'s Republic of China in 1990 following a freeze in place since anti-communist purges early in the Suharto era.  Indonesia has been a member of the United Nations since 1950, Indonesia temporarily withdrew from the UN on January 20 1965 in response to the fact that Malaysia was elected as a non-permanent member of the Security Council. It announced its intention to ""resume full cooperation with the United Nations and to resume participation in its activities"" on September 19 1966, and was invited to re-join the UN on September 28 1966.  and was a founder of the Non-Aligned Movement (NAM) and the Organization of the Islamic Conference (OIC).  Indonesia is signatory to the ASEAN Free Trade Area agreement, and a member of OPEC, the Cairns Group and the WTO. Indonesia has received humanitarian and development aid since 1966, in particular from the United States, western Europe, Australia, and Japan.', 'Singapore maintains diplomatic relations with 175 countries     although it does not maintain a high commission or embassy in many of those countries. It is a member of the United Nations, the Commonwealth, ASEAN and the Non-Aligned Movement. Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important. Singapore enjoys good relations with the United Kingdom which shares ties in the Five Power Defence Arrangements (FPDA) along with Malaysia, Australia and New Zealand. Good relations are also maintained with the United States; the US is perceived as a stabilizing force in the region to counterbalance the regional powers.']"
Was Ford an Eagle Scout?,yes,Yes.,"[""Ford joined the Boy Scouts of America, and attained that program's highest rank, Eagle Scout. He always regarded this as one of his proudest accomplishments, even after attaining the White House.     In subsequent years, Ford received the Distinguished Eagle Scout Award in May 1970 and Silver Buffalo Award from the Boy Scouts of America. He is the only US president who was an Eagle Scout.    Scouting was so important to Ford that his family asked that Scouts participate in his funeral. About 400 Eagle Scouts were part of the funeral procession, where they formed an honor guard as the casket went by in front of the museum, and served as ushers."", 'Eagle Scout Gerald Ford (circled in red) in 1929.']"
How do cuba and declining participation relate?,Canada maintains full relations with both.,Cuba experienced a decline in participation due to the worsening economic conditions that led to high unemployment levels and falling real wages.,"[""While some parts of the economy appeared to be resilient, the downturn had severe impact on the local population. Unemployment levels rose to more than 20%, real wages fell, the peso devalued. These worsening economic conditions played a part in turning public opinion against the mildly free market economic policies adopted by the previous administrations in the 1990s, leading to the popular rejection of proposals for privatization of the state petroleum company in 2003 and of the state water company in 2004. The newly elected Frente Amplio government, while pledging to continue payments on Uruguay's external debt, Michael Fox,  Uruguay's Frente Amplio: From Revolution to Dilution, June 19, 2007. Retrieved August 11, 2007.   has also promised to undertake a Emergency Plan (See section:Social Problems Poverty and inequality) to attack the widespread problems of poverty and unemployment.   (See leaders, President Tabare Vazquez 'On taking office he announced a $100m emergency plan to help the poor '"", ""In 1991, Finland fell into a severe depression caused by economic overheating, depressed foreign markets and the dismantling of the barter system between Finland and the former Soviet Union. More than twenty percent of Finnish trade was with the Soviet Union before 1991, and in the following two years the trade practically ceased. The growth in the 1980s was based on debt, and when the defaults began rolling in, an avalanche effect increased the unemployment from a virtual full employment to one fifth of the workforce. However, civil order remained and the state alleviated the problem of funding the welfare state by taking massive debts. 1991 and again in 1992, Finland devalued the markka to promote export competitiveness. This helped stabilise the economy; the depression bottomed out in 1993, with continued growth through 1995. Since then the growth rate has been one of the highest of OECD countries, and national debt has been reduced to 41.1 percent of GDP (fulfilling the EU's Stability and Growth Pact requirement). Unfortunately, the unemployment has been persistent, and is currently at about 7 percent.""]"
Will oil and gas probably remain the backbone of Qatar 's economy for some time to come ?,Yes,Oil and gas will likely continue to be the mainstay of Qatar's economy for the foreseeable future.,"[""Qatar's national income primarily derives from oil and natural gas exports. The country has oil estimated at 15 billion barrels (2.4 kmÂ³), while gas reserves in the giant north field (South Pars for Iran) which straddles the border with Iran and are almost as large as the peninsula itself are estimated to be between 800â\x80\x93900tcf (Trillion Cubic Feet - 1tcf is equal to around 80 million barrels of oil equivalent). Qataris' wealth and standard of living compare well with those of Western European states; Qatar has one of the highest GDP per capita in the Arab World.  With no income tax, Qatar is also one of the two least-taxed sovereign states in the world (the other is Bahrain)."", ""Before the discovery of oil the economy of the Qatari region focused on fishing and pearling. After the introduction of the Japanese cultured pearl onto the world market in the 1920s and 1930s, Qatar's pearling industry faltered. However, the discovery of oil reserves, beginning in the 1940s, completely transformed the state's economy. Now the country has a high standard of living, with many social services offered to its citizens and all the amenities of any modern state.""]"
Is it true that he married louise désirée lorieux in 1890?,yes,"Yes, it is true that he married Louise Désirée Lorieux in 1890.","['Becquerel was born in Paris into a family which, including he and his son Jean, produced four generations of scientists. He studied science at the Ã\x89cole Polytechnique and engineering at the Ã\x89cole des Ponts et ChaussÃ©es. In 1890 he married Louise DÃ©sirÃ©e Lorieux.', ""On June 2, 1886, Cleveland married Frances Cornelia Folsom, the daughter of his former law partner, in the Blue Room in the White House. He was the second President to marry while in office, and the only President to have a wedding in the White House itself. This marriage was controversial because Cleveland was the executor of the Folsom estate and supervised Frances' upbringing. Folsom, at 21 years old, was the youngest First Lady in the history of the United States. Their children were Ruth Cleveland (1891-1904); Esther Cleveland (1893-1980); Marion Cleveland (1895-1977); Richard Folsom Cleveland (1897-1974); and Francis Grover Cleveland (1903-1995).""]"
Was Watt ranked 22nd in Michael H. Hart 's list of the most influential figures in history ?,Yes.,Yes.,"[""Watt was ranked first, tying with Edison, among 229 significant figures in the history of technology by Charles Murray's survey of historiometry presented in his book Human Accomplishments. Watt was ranked 22nd in Michael H. Hart's list of the most influential figures in history."", 'Watt was a gentleman, greatly respected by other prominent men of the Industrial Revolution. He was an important member of the Lunar Society, and was a much sought after conversationalist and companion, always interested in expanding his horizons.  He was a rather poor businessman, and especially hated bargaining and negotiating terms with those who sought to utilize the steam engine.  Until he retired, he was always much concerned about his financial affairs, and was something of a worrier. His personal relationships with his friends and partners were always congenial and long-lasting.']"
Who has its own political legislature and governor ?,each province,Each province in Canada has its own political legislature and governor.,"['All provinces have unicameral, elected legislatures headed by a Premier selected in the same way as the Prime Minister of Canada. Each province also has a Lieutenant-Governor representing the Queen, analogous to the Governor General of Canada, appointed on the recommendation of the Prime Minister of Canada, though with increasing levels of consultation with provincial governments in recent years.', ""The monarch is represented by a viceroy, the Governor General, who is empowered to exercise almost all of the constitutional duties of the sovereign, though wielding these powers almost always on the advice of the appointed Queen's Privy Council for Canada. In practice, the only body to direct the use of the executive powers is the Cabinet   a committee of the Privy Council made up of Ministers of the Crown, all of whom are  responsible to the elected House of Commons. The Cabinet is headed by the Prime Minister, who holds the conventional position of head of government; to ensure the stability of government, the Governor General will usually appoint the person who is the current leader of the political party that can obtain the confidence of a plurality in the House of Commons. The Prime Minister chooses the Cabinet, and by convention, the Governor General respects the Prime Minister's choices. MichaÃ«lle Jean has served as Governor General since September 27, 2005, and Stephen Harper, leader of the Conservative Party, has been her Prime Minister since February 6, 2006.""]"
Is it true that he practiced law in fredericksburg?,yes,"No, based on the context information provided, he practiced law in Springfield, Illinois.","['In 1834, he won election to the state legislature, and after coming across the Commentaries on the Laws of England, began to teach himself law. Admitted to the bar in 1837, he moved to Springfield, Illinois, that same year and began to practice law with John T. Stuart. With a reputation as a formidable adversary during cross-examinations and in his closing arguments, Lincoln became one of the most respected and successful lawyers in Illinois and grew steadily more prosperous.', 'Possibly the most notable criminal trial of Lincoln\'s career as a lawyer came in 1858, when he defended William ""Duff"" Armstrong, who has been charged with murder. The case became famous for Lincoln\'s use of judicial notice--a rare tactic at that time--to show that an eyewitness had lied on the stand. After the witness testified to having seen the crime by moonlight, Lincoln produced a Farmers\' Almanac to show that the moon on that date was at such a low angle that it could not have provided enough illumination to see anything clearly. Based almost entirely on this evidence, Armstrong was acquitted. Donald (1995), 150-51']"
What did Jefferson call John Adams?,"The ""Colossus of Independence"".","Jefferson hailed Adams as ""The Colossus of that Congress the great pillar of support to the Declaration of Independence, and its ablest advocate and champion on the floor of the House.""","['He was appointed on a committee with Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman, to draft a Declaration of Independence. Although that document was largely drafted by Jefferson, Adams occupied the foremost place in the debate on its adoption. He deferred the writing to Jefferson believing it would be better received having been written by him. Adams believed Jefferson wrote profoundly better than any man in Congress, and he himself was ""obnoxious and disliked."" Many years later, Jefferson hailed Adams as, ""The Colossus of that Congress the great pillar of support to the Declaration of Independence, and its ablest advocate and champion on the floor of the House."" Lipscomb & Bergh, eds. Writings of Thomas Jefferson (1903), vol 13, p xxiv  In 1777, Adams resigned his seat on the Massachusetts Superior Court to serve as the head of the Board of War and Ordinance, as well as many other important committees.  Marquis 1607-1896', ""Adams's four years as president (1797 1801) were marked by intense disputes over foreign policy. Britain and France were at war; Adams and the Federalists favored Britain, while Jefferson and the Democratic-Republicans favored France. An undeclared naval war between the U.S. and France, called the Quasi-War, broke out in 1798. The humiliation of the XYZ Affair, in which the French demanded huge bribes before any discussions could begin, led to serious threats of full-scale war with France and embarrassed the Jeffersonians, who were friends to France. The Federalists built up the army under George Washington and Alexander Hamilton, built warships, such as the USS Constitution, and raised taxes. They cracked down on political immigrants and domestic opponents with the Alien and Sedition Acts, which were signed by Adams in 1798.""]"
"Was Wilson , a staunch opponent of antisemitism , sympathetic to the plight of Jews , especially in Poland and in France ?",Yes,"Wilson, a staunch opponent of antisemitism, was sympathetic to the plight of Jews, especially in Poland and in France.","['Wilson, a staunch opponent of antisemitism , was sympathetic to the plight of Jews, especially in Poland and in France. As President, Wilson repeatedly stated in 1919 that U.S. policy was to ""acquiesce"" in the Balfour Declaration but not officially support Zionism   Walworth (1986) 473-83, esp. p. 481; Melvin I. Urofsky, American Zionism from Herzl to the Holocaust, (1995) ch. 6; Frank W. Brecher, Reluctant Ally: United States Foreign Policy toward the Jews from Wilson to Roosevelt. (1991) ch 1-4.  . After he left office Wilson wrote a letter of strong support to the idea of a Jewish state in Palestine and objected to territorial concessions regarding its borders.   In 1923 he wrote ""The Zionist cause depends on rational northern and eastern boundaries for a self-maintaining, economic development of the country. This means, on the north, Palestine must include the Litani River and the watersheds of the Hermon, and on the east it must include the plains of the Jaulon and the Hauran. Narrower than this is a mutilation...I need not remind you that neither in this country nor in Paris has there been any opposition to the Zionist program, and to its realization the boundaries I have named are indispensable"". Quoted in Palestine: The Original Sin , Meir Abelson', ""To stop defeatism at home, Wilson pushed the Espionage Act of 1917 and the Sedition Act of 1918 through Congress to suppress anti-British, pro-German, or anti-war opinions.  He welcomed socialists who supported the war, such as Walter Lippmann, but would not tolerate those who tried to impede the war or, worse, assassinate government officials, and pushed for deportation of foreign-born radicals. Avrich, Paul, Sacco and Vanzetti: The Anarchist Background, Princeton University Press, 1991   His wartime policies were strongly pro-labor, though again, he had no love for radical unions like the Industrial Workers of the World.  The American Federation of Labor and other 'moderate' unions saw enormous growth in membership and wages during Wilson's administration. There was no rationing, so consumer prices soared. As income taxes increased, white-collar workers suffered. Appeals to buy war bonds were highly successful, however. Bonds had the result of shifting the cost of the war to the affluent 1920s.""]"
Can the title of this famous 1811 paper be roughly translated into english?,yes,"The title of this famous 1811 paper can be roughly translated into English as ""Essay on Determining the Relative Masses of the Elementary Molecules of Bodies"".","['In 1811, he published an article with the title Essai d\'une manière de déterminer les masses relatives des molécules élémentaires des corps, et les proportions selon lesquelles elles entrent dans ces combinaisons, which contains the famous Avogadro\'s hypothesis. The title of this famous 1811 paper can be roughly translated into English as ""Essay on Determining the Relative Masses of the Elementary Molecules of Bodies"".  (Note: At that time in 1811, northern Italy was actually under French rule during the era of Napoléon Bonaparte. Avogadro submitted his poem to a French journal. This paper was written in French, not in Italian.)', 'The title page of The Chemical History of a Candle (1861)']"
What makes it more difficult for a diving duck to fly?,They are heavier,"Diving ducks are heavier than dabbling ducks, which makes it more difficult for them to take off and fly.","['Diving ducks and sea ducks forage deep underwater. To be able to submerge more easily, the diving ducks are heavier than dabbling ducks, and therefore have more difficulty taking off to fly.', 'Adult ducks are fast fliers, but may be caught on the water by large aquatic predators. This can occasionally include fish such as the muskie in North America or the pike in Europe. In flight, ducks are safe from all but a few predators such as humans and the Peregrine Falcon, which regularly uses its speed and strength to catch ducks.']"
Are ducks in the Arctic Northern Hemisphere migratory?,Some are,"Yes, some duck species in the Arctic Northern Hemisphere are migratory.","['Some duck species, mainly those breeding in the temperate and Arctic Northern Hemisphere, are migratory; those in the tropics, however, are generally not. Some ducks, particularly in Australia where rainfall is patchy and erratic, are nomadic, seeking out the temporary lakes and pools that form after localised heavy rain.', 'Ducks have become an accepted presence in populated areas. Migration patterns have changed such that many species remain in an area during the winter months. In spring and early summer ducks sometimes influence human activity through their nesting; sometimes a duck pair nests well away from water, needing a long trek to water for the hatchlings: this sometimes causes an urgent wildlife rescue operation (e.g. by the RSPCA) if the duck nested somewhere unsuitable like in a small enclosed courtyard.']"
What percentage of Liechtenstein's population is foreign-born?,two-thirds,Two-thirds of Liechtenstein's workforce is made up of foreign-born people.,"[""Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners."", ""Liechtensteiners have an average life expectancy at birth of 79.68 years (76.1 years for males; 83.28 years for females). The infant mortality rate is 4.64 deaths per 1,000 live births, according to recent estimates. An estimated 100 percent of the population, age 10 and older, can read and write.  The Programme for International Student Assessment, coordinated by the OECD, currently ranks Liechtenstein's education as the 10th best in the world, being significantly higher than the OECD average.""]"
When did the Gettysburg address argue that America was born?,1776,The Gettysburg Address argued that America was born in 1776.,"['In his Gettysburg Address Lincoln redefined the American nation, arguing that it was born not in 1789 but in 1776, ""conceived in Liberty, and dedicated to the proposition that all men are created equal."" He declared that the sacrifices of battle had rededicated the nation to the propositions of democracy and equality, ""that this nation shall have a new birth of freedom â\x80\x94 and that government of the people, by the people, for the people, shall not perish from the earth."" By emphasizing the centrality of the nation, he rebuffed the claims of state sovereignty. While some critics say Lincoln moved too far and too fast,  H.L. Mencken said ""It is difficult to imagine anything more untrue. The Union soldiers in the battle actually fought against self-determination; it was the Confederates who fought for the right of their people to govern themselves."" Mencken did not mention the right of self-determination rights for blacks.   they agree that he dedicated the nation to values that marked ""a new founding of the nation.""  Wills (1992) p. 39.', 'Lincoln\'s powerful rhetoric defined the issues of the war for the nation, the world, and posterity. His extraordinary command of the English language was evidenced in the Gettysburg Address, a speech dedicating the cemetery at Gettysburg that he delivered on November 19, 1863. The speech defied Lincoln\'s own prediction that ""the world will little note, nor long remember what we say here."" Lincoln\'s second inaugural address is also greatly admired and often quoted. In these speeches, Lincoln articulated better than anyone else the rationale behind the Union cause.']"
Who got Seward elected to the senate?,Weed,Weed ultimately got Seward elected to the senate.,"[""Fillmore was also selected in part to block New York state machine boss Thurlow Weed from receiving the vice presidential nomination (and his front man William H. Seward from receiving a position in Taylor's cabinet). Weed ultimately got Seward elected to the senate. This competition between Seward and Fillmore led to Seward's becoming a more vocal part of cabinet meetings and having more of a voice than Fillmore in advising the administration. The battle would continue even after Taylor's death."", 'In 1911 the State Senator for the Hampshire County area retired and encouraged Coolidge to run for his seat for the 1912 session. He defeated his Democratic opponent by a large margin. Sobel, 76  At the start of that term, Coolidge was selected to be chairman of a committee to arbitrate the ""Bread and Roses"" strike by the workers of the American Woolen Company in Lawrence, Massachusetts. See also the main article, Lawrence textile strike, for a full description.  After two tense months, the company agreed to the workers\' demands in a settlement the committee proposed. Fuess, 110â\x80\x93111; McCoy, 45â\x80\x9346  The other major issue for Republicans that year was the party split between the progressive wing, which favored Theodore Roosevelt, and the conservative wing, which favored William Howard Taft. Although he favored some progressive measures, Coolidge refused to bolt the party. Sobel, 79â\x80\x9380; Fuess, 111  When the new Progressive Party declined to run a candidate in his state senate district, Coolidge won reelection against his Democratic opponent by an increased margin.']"
With what party did Adams run for presidency?,The Federalist Party,Adams ran for presidency with the Federalist Party.,"[""During the presidential campaign of 1796 Adams was the presidential candidate of the Federalist Party and Thomas Pinckney, the Governor of South Carolina, his running mate. The federalists wanted Adams as their presidential candidate to crush Thomas Jefferson's bid. Most federalists would have preferred Hamilton to be a candidate.  Although Hamilton and his followers supported Adams, they also held a grudge against him.  They did consider him to be the lesser of the two evils. However, they thought Adams lacked the seriousness and popularity that had caused Washington to be successful, and also feared that Adams was too vain, opinionated, unpredictable, and stubborn to follow their directions.  Adams' opponents were former Secretary of State Thomas Jefferson of Virginia, who was joined by Senator Aaron Burr of New York on the Democratic-Republican ticket."", ""In the election of 1800 John Adams and his running mate, Charles Cotesworth Pinckney went against the Republican duo of Jefferson and Burr. Hamilton tried his hardest to sabotage Adams campaign in hopes of boosting Pinckney's chances of winning the presidency. In the end, Adams lost narrowly to Jefferson by 65 to 73 electoral votes.""]"
"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?",the remains (the lower jaw) of the oldest modern human,"The remains (the lower jaw) are approximately 42,000 years old and have been nicknamed ""John of Anina"" (Ion din Anina).","['In 2002, the oldest modern human (Homo sapiens sapiens) remains in Europe were discovered in the ""Cave With Bones"" (PeÅ\x9ftera cu Oase) near Anina in present day Romania.    The remains (the lower jaw) are approximately 42,000 years old and have been nicknamed ""John of Anina"" (Ion din Anina). As Europeâ\x80\x99s oldest remains of Homo sapiens, they may represent the first such people to have entered the continent.     The remains are especially interesting because they present a mixture of archaic, early modern human and Neanderthal morphological features.', 'Perudyptes from northern Peru was dated to 42 mya. An unnamed fossil from Argentina proves that by the Bartonian (Middle Eocene), some 39-38 mya']"
Can a panther be any of several species of large felid?,Yes,Yes.,"['A panther can be any of several species of large felid; in North America, the term refers to cougars, in South America, jaguars, and elsewhere, leopards. Early naturalists distinguished between leopards and panthers not by colour (a common misconception), but by the length of the tail panthers having longer tails than leopards.', ""The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar. Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers.""]"
What is an economic use of a duck?,Meat,"Ducks are farmed for their meat, eggs, feathers (particularly their down), which are some of their economic uses.","['Ducks have many economic uses, being farmed for their meat, eggs, feathers, (particularly their down). They are also kept and bred by aviculturists and often displayed in zoos. All domestic ducks are descended from the wild Mallard Anas platyrhynchos, except the Muscovy Duck', 'Most ducks have a wide flat beak adapted for dredging. They exploit a variety of food sources such as grasses, aquatic plants, fish, insects, small amphibians  Photo of a duck eating a frog , worms, and small molluscs.']"
How much increase in the media's contribution to GDP is the government seeking?,The government seeks to increase its GDP contribution to 3% by 2012. ,The government is seeking to increase the media industry's GDP contribution to 3% by 2012.,"[""The media of Singapore play an important role in Singapore, one of the key strategic media centres in the Asia-Pacific region.    This is in line with the government's aggressive push to establish Singapore as a media hub in the world under the Media 21 plan launched in 2002.    Comprising of the publishing, print, broadcasting, film, music, digital and IT media sectors, the media industry collectively employed about 38,000 people and contributed 1.56% to Singapore's gross domestic product (GDP) in 2001 with an annual turnover of S$10 billion. The industry grew at an average rate of 7.7% annually from 1990 to 2000, and the government seeks to increase its GDP contribution to 3% by 2012."", 'The government has struggled to prepare the economy for the new millennium through economic reform and massive investments in communications and physical infrastructure. Egypt has been receiving  U.S. foreign aid (since 1979, an average of $2.2 billion per year) and is the third-largest recipient of such funds from the United States following the Iraq war. Its main revenues however come from tourism as well as traffic that goes through the Suez Canal.']"
